name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
boston,2021-01-01,36,28.8,33.5,35.8,20.4,28.2,22.4,63.96,0.03,,4.17,,0.33,0.33,,12.5,231.6,1030.1,58.3,9.8,146.7,4.8,3,,2021-01-01T07:13:36,2021-01-01T16:22:35,0.53,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"KOWD,AV085,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-01-02,42.3,32,38.9,39.2,22.1,30.9,35,86.58,0.48,,50,,0.2,0.52,36.5,23.7,232.3,1011,83.4,7.2,62,2.2,1,,2021-01-02T07:13:40,2021-01-02T16:23:28,0.56,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"KOWD,AV085,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-01-03,35.7,29.8,32.3,28.7,21.1,24.7,26.7,79.82,0.03,,25,,0.44,0.44,19.7,14.8,234.4,1019.9,91.1,9.1,44,1.4,1,,2021-01-03T07:13:40,2021-01-03T16:24:23,0.6,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-01-04,39,30.9,33.6,30.8,21.1,25.1,27.9,79.6,0,,0,,0.26,0.7,,14.8,226.1,1014.6,88.9,9.9,115.9,4.2,3,,2021-01-04T07:13:39,2021-01-04T16:25:20,0.65,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-01-05,33.2,30,31.4,24.6,20.6,22.8,27.2,84.07,0.01,,8.33,,0.66,0.78,,12.6,343.6,1013,100,7.6,73.1,2.4,1,,2021-01-05T07:13:35,2021-01-05T16:26:18,0.7,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"KOWD,72509854704,KBED,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-01-06,38.1,30.8,33.2,30.1,20.6,24.1,23.2,67.51,0,,0,,0.24,0.6,27.6,17.1,319.2,1011.9,81.4,9.9,128.2,4.6,3,,2021-01-06T07:13:28,2021-01-06T16:27:18,0.76,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-01-07,41,29.9,34.1,33.9,18.3,24.8,17.5,50.73,0,,0,,0.35,0.39,25.3,18,311.8,1015,59.7,9.9,186.9,6.7,4,,2021-01-07T07:13:19,2021-01-07T16:28:19,0.82,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-01-08,41.1,25.9,31.4,36.4,16.1,22.8,14.4,51.07,0,,0,,0,0.13,20.8,14.6,313.6,1013,13.7,9.9,179.7,6.5,4,,2021-01-08T07:13:08,2021-01-08T16:29:21,0.87,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-01-09,35.9,24,29.8,31.8,12.6,20.5,14.6,52.84,0,,0,,0,0,19.7,15.9,337.3,1010.8,57.6,9.9,162.3,5.8,3,,2021-01-09T07:12:55,2021-01-09T16:30:25,0.92,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,KBVY,72505914702"
boston,2021-01-10,41,26.9,33.1,35.3,15.3,25.5,16.3,50.54,0,,0,,0,0,23,15.9,315,1019.9,49.3,9.9,180.8,6.5,4,,2021-01-10T07:12:39,2021-01-10T16:31:30,0.96,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,KBVY,72505914702"
